Alessandro Carloni,1262481,0,140300
Brad Bird,7087,2,56292
Peter Ramsey,151007,2,81188
Dean Parisot,15002,2,7552
Edward Zwick,9181,2,616
Ridley Scott,578,2,147441
J.J. Abrams,15344,2,13475
Sam Raimi,7623,2,557
Dean DeBlois,69797,2,82702
Alex Proyas,21085,2,205584
Rob Cohen,18878,2,10048
Zack Snyder,15217,2,13183
Richard Donner,7187,2,944
Ang Lee,1614,2,1927
Jon M. Chu,54507,2,72559
Breck Eisner,52609,2,7364
Hironobu Sakaguchi,21692,0,2114
Motonori Sakakibara,21693,0,2114
Joe Johnston,4945,2,1771
Michael Apted,10781,2,36643
Peter Weir,2690,2,8619
Bill Condon,15557,2,50620
George Miller,20629,2,65759
Louis Leterrier,18865,2,1724
Steven Spielberg,488,2,267935
Alejandro González Iñárritu,223,2,281957
David Soren,94075,0,77950
Gore Verbinski,1704,2,44896
Eric Darnell,18863,2,270946
Simon J. Smith,44114,2,270946
Paul Greengrass,25598,2,2503
Mark Osborne,57741,2,9502
John Stevenson,57742,2,9502
Peyton Reed,59026,2,102899
Francis Lawrence,10943,2,101299
Tim Johnson,52870,2,228161
Steven Spielberg,488,2,74
Michael Bay,865,2,8961
Chris Miller,12098,2,417859
Phillip Noyce,13015,2,27576
Darren Aronofsky,6431,2,86834
Steven Spielberg,488,2,17578
Alfonso Cuarón,11218,2,673
Baz Luhrmann,6201,2,6972
M. Night Shyamalan,11614,2,82700
Ralph Zondag,65855,2,10567
Eric Leighton,65856,2,10567
Shawn Levy,17825,2,181533
Tom McGrath,18864,2,38055
Chris Columbus,10965,2,671
Robert Schwentke,57270,2,49524
Gore Verbinski,1704,2,22
Francis Lawrence,10943,2,131631
Ron Howard,6159,2,591
Carlos Saldanha,5714,2,172385
Bryan Singer,9032,2,36658
Justin Lin,58189,0,51497
Guy Ritchie,956,2,58574
Louis Leterrier,18865,2,18823
Paul Verhoeven,10491,2,861
John McTiernan,1090,0,1911
Tony Gilroy,19242,2,49040
Joel Schumacher,5572,2,415
Ron Howard,6159,2,8871
Roland Emmerich,6046,2,435
John Woo,11401,2,955
Wolfgang Petersen,5231,2,2133
Tim Story,20400,2,1979
Ang Lee,1614,2,87827
Mark Steven Johnson,16837,2,1250
Paul Greengrass,25598,2,324668
McG,36425,2,9471
Ridley Scott,578,2,70981
Rob Minkoff,18898,2,10996
Neill Blomkamp,82194,2,68724
David Twohy,28239,0,2789
José Padilha,52576,2,97020
Lilly Wachowski,9339,1,7459
Lana Wachowski,9340,1,7459
James L. Brooks,3388,2,42888
James Mangold,366,2,37834
Joseph Kosinski,86270,2,75612
George Lucas,1,2,1895
George Lucas,1,2,1894
Pete Docter,12890,2,585
James Mangold,366,2,76170
George Lucas,1,2,1893
Chris Sanders,66193,2,49519
Kirk De Micco,71267,2,49519
Thomas Langmann,20674,2,2395
Frédéric Forestier,24886,2,2395
John Woo,11401,2,12100
Cedric Nicolas-Troyan,1454884,0,290595
Jonathan Liebesman,66739,0,98566
Alfonso Cuarón,11218,2,49047
Roger Donaldson,21370,2,9619
Dave Green,1101410,0,308531
Josh Trank,934803,2,166424
Shawn Levy,17825,2,1593
Brad Peyton,132876,2,254128
Roger Spottiswoode,1724,2,714
Roland Emmerich,6046,2,2024
Steven Soderbergh,1884,2,163
Doug Liman,11694,2,787
Robert Schwentke,57270,2,262500
Martin Scorsese,1032,2,2567
Rob Letterman,65630,0,38745
Michel Gondry,201,2,40805
Noam Murro,78914,0,53182
Raja Gosnell,1215,2,41513
Will Finn,70287,2,13700
John Sanford,80671,2,13700
Robert Schwentke,57270,2,262504
Shawn Levy,17825,2,39254
Raja Gosnell,1215,2,77931
Jan de Bont,2209,2,1639
Gavin Hood,13079,2,80274
Len Wiseman,3950,2,1571
Peter Jackson,108,2,120
Frank Coraci,57370,2,10204
Michael Mann,638,2,8489
Bo Welch,5133,2,10588
Alex Proyas,21085,2,2048
Ridley Scott,578,2,1495
Rob Minkoff,18898,2,10137
Ron Clements,15810,2,10198
John Musker,15811,2,10198
Ridley Scott,578,2,286217
Michael Bay,865,2,1635
Peter Chelsom,36804,2,24113
Dominic Sena,58498,2,9679
Ridley Scott,578,2,98
Steven Spielberg,488,2,180
Chris Columbus,10965,2,672
Martin Campbell,10702,2,36557
Tim Burton,510,2,869
James Cameron,2710,2,280
Michael Mann,638,2,11322
Ridley Scott,578,2,4982
James Cameron,2710,2,36955
Tony Scott,893,2,18487
Paul Weitz,3289,2,39451
Adam McKay,55710,2,27581
Chuck Russell,26713,2,9268
Quentin Tarantino,138,2,68718
Gary Trousdale,62047,2,10545
Kirk Wise,62048,2,10545
Mark Dindal,61411,2,11688
Simon West,12786,2,76163
Jon Turteltaub,12962,2,2059
Stefen Fangmeier,25453,0,2486
Spike Jonze,5953,2,16523
Chris Wedge,5713,2,116711
Florian Henckel von Donnersmarck,8193,2,37710
Peter Hyams,37710,2,9946
Edward Zwick,9181,2,1372
Martin Scorsese,1032,2,106646
Joel Schumacher,5572,2,414
Paul Verhoeven,10491,2,563
Tom Tykwer,1071,2,83542
Lilly Wachowski,9339,1,83542
Lana Wachowski,9340,1,83542
Zack Snyder,15217,2,41216
Pitof,4586,2,314
Brett Ratner,11091,2,184315
Ron Clements,15810,2,9016
John Musker,15811,2,9016
Brad Silberling,11887,0,18162
Patrick Hughes,143059,2,138103
Ericson Core,21673,2,257088
Lawrence Guterman,64191,0,10214
Ron Howard,6159,2,205775
Ron Underwood,33485,2,11692
Paul Greengrass,25598,2,22972
Steve Martino,71729,2,227973
David Mamet,1255,2,29193
Stephen Sommers,7775,2,1734
Martin Scorsese,1032,2,3131
Zhang Yimou,607,2,76758
Ash Brannon,12905,2,9408
Chris Buck,15774,0,9408
Frank Oz,7908,2,9890
Ridley Scott,578,2,855
Jay Roach,6737,2,77953
Luc Besson,59,2,18
Michael Patrick King,38023,2,37786
Don Michael Paul,27005,2,10501
Bibo Bergeron,65629,2,10501
Steve Martino,71729,2,57800
Mike Thurmeier,229962,2,57800
Kenneth Branagh,11181,2,150689
Peter Jackson,108,2,7980
Andrew Stanton,7,2,12
Peter Jackson,108,2,122
Peter Jackson,108,2,121
Sergei Bodrov,130938,0,68737
Simon West,12786,2,1995
Wally Pfister,559,2,157353
Joe Johnston,4945,2,331
Rupert Wyatt,77357,0,61791
Mark Waters,54050,2,8204
John Moore,12028,2,47964
John Lee Hancock,54040,2,10733
Brad Bird,7087,2,9806
Renny Harlin,16938,2,1408
Chris Columbus,10965,2,32657
Barry Sonnenfeld,5174,2,607
John Lasseter,7879,2,863
Tony Scott,893,2,44048
Brett Ratner,11091,2,5175
Robert Zemeckis,24,2,2655
Phil Lord,107446,0,22794
Christopher Miller,155267,2,22794
Carlos Saldanha,5714,2,8355
Ben Stiller,7399,2,116745
McG,36425,2,4327
Martin Scorsese,1032,2,1422
Tony Bancroft,66190,2,10674
Barry Cook,66191,2,10674
Ben Stiller,7399,2,7446
David Fincher,7467,2,65754
John McTiernan,1090,0,1572
Guy Ritchie,956,2,10528
Timur Bekmambetov,23430,2,271969
Gary Trousdale,62047,2,10865
Kirk Wise,62048,2,10865
Walt Becker,68573,2,258509
Bryan Singer,9032,2,2253
Dennis Dugan,17494,2,10661
Chris Columbus,10965,2,257344
Steven Spielberg,488,2,644
Rob Minkoff,18898,2,10756
Robert Zemeckis,24,2,686
Paul Verhoeven,10491,2,9383
Sydney Pollack,2226,2,179
Thor Freudenthal,109857,2,76285
